tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
actionlint,tauri-apps_tauri_test-cli-js__execution.yml,execution,nonexistent-seed-job,1,1,0.0094,1,0
actionlint,tauri-apps_tauri_test-cli-js__registry.yml,registry,unknown_input,1,1,0.0108,1,0
actionlint,tauri-apps_tauri_test-cli-js__schema.yml,schema,shell,1,1,0.0084,1,0
actionlint,tauri-apps_tauri_test-cli-js__syntax.yml,syntax,syntax,1,1,0.0062,1,0
actionlint,tensorflow_tensorflow_issue-on-pr-rollback__execution.yml,execution,nonexistent-seed-job,1,1,0.0083,1,0
actionlint,tensorflow_tensorflow_issue-on-pr-rollback__registry.yml,registry,unknown_input,0,0,0.0080,0,0
actionlint,tensorflow_tensorflow_issue-on-pr-rollback__schema.yml,schema,shell,1,1,0.0096,1,0
actionlint,tensorflow_tensorflow_issue-on-pr-rollback__syntax.yml,syntax,syntax,1,1,0.0061,1,0
actionlint,tensorflow_tensorflow_osv-scanner-scheduled__registry.yml,registry,unknown_input,0,0,0.0052,0,0
actionlint,tensorflow_tensorflow_osv-scanner-scheduled__syntax.yml,syntax,syntax,1,1,0.0047,1,0
actionlint,vercel_next.js_rspack-nextjs-build-integration-tests__registry.yml,registry,unknown_input,0,0,0.0042,0,0
actionlint,vercel_next.js_rspack-nextjs-build-integration-tests__syntax.yml,syntax,syntax,1,1,0.0045,1,0
actionlint,yt-dlp_yt-dlp_quick-test__registry.yml,registry,unknown_input,1,1,0.0072,1,0
actionlint,yt-dlp_yt-dlp_quick-test__syntax.yml,syntax,syntax,1,1,0.0060,1,0
